State and area;Year;Month;Employment;Unemployment
Rhode Island;1984;04;458.988   ;28.131   
South Carolina;1984;04;1381609   ;103.321   
South Dakota;1984;04;325.649   ;14.451   
Tennessee;1984;04;2016696   ;202.006   
Texas;1984;04;7264933   ;480.470   
Utah;1984;04;656.030   ;47.035   
Vermont;1984;04;256.254   ;13.936   
Virginia;1984;04;2651015   ;139.109   
Washington;1984;04;1876094   ;197.952   
West Virginia;1984;04;651.284   ;105.308   
Wisconsin;1984;04;2226895   ;176.779   
Wyoming;1984;04;238.835   ;15.515   
Alabama;1984;05;1580120   ;205.414   
Alaska;1984;05;218.418   ;24.134   
Arizona;1984;05;1364918   ;65.983   
Arkansas;1984;05;962.485   ;90.030   
California;1984;05;11586906   ;979.403   
Los Angeles County;1984;05;3564497   ;301.158   
Colorado;1984;05;1615378   ;90.958   
Connecticut;1984;05;1591971   ;77.326   
Delaware;1984;05;288.147   ;19.023   
District of Columbia;1984;05;290.408   ;28.295   
Florida;1984;05;4794495   ;338.050   
Georgia;1984;05;2599873   ;165.347   
Hawaii;1984;05;450.301   ;25.738   
Idaho;1984;05;429.904   ;32.652   
Illinois;1984;05;5099991   ;509.102   
Indiana;1984;05;2410796   ;221.089   
Iowa;1984;05;1325784   ;98.603   
Kansas;1984;05;1143513   ;59.811   
Kentucky;1984;05;1550500   ;157.639   
Louisiana;1984;05;1745906   ;190.486   
Maine;1984;05;514.576   ;33.798   
Maryland;1984;05;2124137   ;120.948   
Massachusetts;1984;05;2896629   ;148.333   
Michigan;1984;05;3826763   ;488.667   
Minnesota;1984;05;2078887   ;141.046   
Mississippi;1984;05;967.543   ;113.628   
Missouri;1984;05;2195419   ;176.623   
Montana;1984;05;373.055   ;30.293   
Nebraska;1984;05;754.691   ;35.022   
Nevada;1984;05;460.222   ;37.570   
New Hampshire;1984;05;500.346   ;21.130   
New Jersey;1984;05;3577061   ;240.969   
New Mexico;1984;05;578.420   ;46.044   
New York;1984;05;7514190   ;585.033   
New York city;1984;05;2819217   ;273.535   
North Carolina;1984;05;2837533   ;195.200   
North Dakota;1984;05;306.701   ;17.212   
Ohio;1984;05;4618896   ;487.511   
Oklahoma;1984;05;1443645   ;103.153   
Oregon;1984;05;1212449   ;124.055   
Pennsylvania;1984;05;4993710   ;493.968   
Rhode Island;1984;05;461.145   ;26.956   
South Carolina;1984;05;1386147   ;101.677   
South Dakota;1984;05;326.154   ;14.584   
Tennessee;1984;05;2022720   ;199.460   
Texas;1984;05;7419143   ;470.833   
Utah;1984;05;658.854   ;46.167   
Vermont;1984;05;256.999   ;13.422   
Virginia;1984;05;2659769   ;140.261   
Washington;1984;05;1881488   ;195.236   
West Virginia;1984;05;652.873   ;104.698   
Wisconsin;1984;05;2230323   ;175.638   
Wyoming;1984;05;239.021   ;15.396   
Alabama;1984;06;1584542   ;203.264   
Alaska;1984;06;219.481   ;24.048   
Arizona;1984;06;1371865   ;64.128   
Arkansas;1984;06;961.336   ;89.494   
California;1984;06;11632800   ;975.144   
Los Angeles County;1984;06;3575693   ;301.564   
Colorado;1984;06;1617513   ;93.151   
Connecticut;1984;06;1596635   ;76.747   
Delaware;1984;06;288.924   ;19.158   
District of Columbia;1984;06;291.864   ;28.036   
Florida;1984;06;4814777   ;336.174   
Georgia;1984;06;2608972   ;165.824   
Hawaii;1984;06;450.107   ;25.550   
Idaho;1984;06;430.477   ;33.092   
Illinois;1984;06;5109336   ;501.253   
Indiana;1984;06;2416533   ;217.969   
Iowa;1984;06;1325456   ;98.318   
Kansas;1984;06;1145489   ;59.771   
Kentucky;1984;06;1551784   ;155.836   
Louisiana;1984;06;1747861   ;192.897   
Maine;1984;06;515.954   ;33.476   
Maryland;1984;06;2129572   ;121.600   
Massachusetts;1984;06;2904736   ;144.742   
Michigan;1984;06;3838531   ;485.102   
Minnesota;1984;06;2081041   ;139.247   
Mississippi;1984;06;969.916   ;114.585   
Missouri;1984;06;2201322   ;171.418   
Montana;1984;06;373.781   ;30.588   
Nebraska;1984;06;756.019   ;34.771   
Nevada;1984;06;461.807   ;38.015   
New Hampshire;1984;06;501.870   ;21.360   
New Jersey;1984;06;3581590   ;238.935   
New Mexico;1984;06;579.988   ;46.340   
New York;1984;06;7521459   ;587.146   
New York city;1984;06;2819898   ;278.451   
North Carolina;1984;06;2840710   ;196.893   
North Dakota;1984;06;306.953   ;17.324   
Ohio;1984;06;4631563   ;481.441   
Oklahoma;1984;06;1444447   ;103.857   
Oregon;1984;06;1213410   ;123.681   
Pennsylvania;1984;06;4999536   ;491.998   
Rhode Island;1984;06;462.927   ;25.692   
South Carolina;1984;06;1389859   ;101.299   
South Dakota;1984;06;326.411   ;14.792   
Tennessee;1984;06;2028653   ;197.439   
Texas;1984;06;7471187   ;465.124   
Utah;1984;06;661.328   ;45.515   
Vermont;1984;06;257.556   ;12.976   
Virginia;1984;06;2667605   ;141.322   
Washington;1984;06;1886165   ;192.932   
West Virginia;1984;06;653.876   ;104.599   
Wisconsin;1984;06;2231990   ;175.006   
Wyoming;1984;06;239.169   ;15.484   
Alabama;1984;07;1587926   ;200.913   
Alaska;1984;07;220.338   ;23.991   
Arizona;1984;07;1377529   ;63.721   
Arkansas;1984;07;959.605   ;88.937   
California;1984;07;11671911   ;971.236   
Los Angeles County;1984;07;3587491   ;301.993   
Colorado;1984;07;1617674   ;95.270   
Connecticut;1984;07;1599364   ;76.401   
Delaware;1984;07;289.559   ;19.246   
District of Columbia;1984;07;293.152   ;27.881   
Florida;1984;07;4831767   ;334.890   
Georgia;1984;07;2615618   ;166.720   
Hawaii;1984;07;449.247   ;25.397   
Idaho;1984;07;430.811   ;33.480   
Illinois;1984;07;5114218   ;496.246   
Indiana;1984;07;2418580   ;215.958   
Iowa;1984;07;1324210   ;98.195   
Kansas;1984;07;1146707   ;59.629   
Kentucky;1984;07;1552309   ;153.586   
Louisiana;1984;07;1747615   ;195.906   
Maine;1984;07;516.803   ;33.150   
Maryland;1984;07;2133711   ;121.595   
Massachusetts;1984;07;2910222   ;141.578   
Michigan;1984;07;3845466   ;481.466   
Minnesota;1984;07;2081877   ;137.330   
Mississippi;1984;07;971.841   ;115.707   
Missouri;1984;07;2206025   ;167.354   
Montana;1984;07;374.207   ;30.674   
Nebraska;1984;07;756.978   ;34.682   
Nevada;1984;07;463.165   ;38.437   
New Hampshire;1984;07;502.802   ;21.666   
New Jersey;1984;07;3581502   ;237.061   
New Mexico;1984;07;581.175   ;47.045   
New York;1984;07;7523709   ;588.611   
New York city;1984;07;2818986   ;282.441   
North Carolina;1984;07;2840848   ;191.136   
North Dakota;1984;07;307.034   ;17.413   
Ohio;1984;07;4641583   ;475.877   
Oklahoma;1984;07;1444249   ;104.513   
Oregon;1984;07;1213559   ;123.397   
Pennsylvania;1984;07;5004359   ;490.141   
Rhode Island;1984;07;464.346   ;24.448   
South Carolina;1984;07;1392924   ;101.764   
South Dakota;1984;07;326.430   ;14.996   
Tennessee;1984;07;2034822   ;195.131   
Texas;1984;07;7487337   ;462.823   
Utah;1984;07;663.477   ;45.071   
Vermont;1984;07;257.963   ;12.625   
Virginia;1984;07;2674518   ;142.245   
Washington;1984;07;1889519   ;190.748   
West Virginia;1984;07;654.120   ;104.943   
Wisconsin;1984;07;2231787   ;173.867   
Wyoming;1984;07;239.224   ;15.750   
Alabama;1984;08;1590801   ;198.357   
Alaska;1984;08;221.105   ;23.940   
Arizona;1984;08;1381314   ;65.134   
Arkansas;1984;08;957.763   ;88.366   
California;1984;08;11706943   ;967.359   
Los Angeles County;1984;08;3600903   ;302.197   
Colorado;1984;08;1616506   ;96.624   
Connecticut;1984;08;1600724   ;76.242   
Delaware;1984;08;290.206   ;19.222   
District of Columbia;1984;08;294.417   ;27.754   
Florida;1984;08;4847184   ;333.891   
Georgia;1984;08;2620713   ;167.799   
Hawaii;1984;08;448.007   ;25.395   
Idaho;1984;08;430.884   ;33.777   
Illinois;1984;08;5116431   ;494.978   
Indiana;1984;08;2419024   ;215.042   
Iowa;1984;08;1322206   ;98.445   
Kansas;1984;08;1147513   ;59.379   
Kentucky;1984;08;1552159   ;151.173   
Louisiana;1984;08;1745473   ;199.374   
Maine;1984;08;517.432   ;32.707   
Maryland;1984;08;2136976   ;120.738   
Massachusetts;1984;08;2913529   ;138.726   
Michigan;1984;08;3848652   ;478.344   
Minnesota;1984;08;2082334   ;135.657   
Mississippi;1984;08;973.725   ;116.597   
Missouri;1984;08;2209987   ;164.657   
Montana;1984;08;374.430   ;30.556   
Nebraska;1984;08;757.591   ;34.621   
Nevada;1984;08;464.391   ;38.778   
New Hampshire;1984;08;503.337   ;21.980   
New Jersey;1984;08;3578733   ;234.743   
New Mexico;1984;08;582.112   ;48.040   
New York;1984;08;7525735   ;587.726   
New York city;1984;08;2818123   ;284.095   
North Carolina;1984;08;2839746   ;195.105   
North Dakota;1984;08;307.009   ;17.479   
Ohio;1984;08;4648643   ;471.403   
Oklahoma;1984;08;1443483   ;104.830   
Oregon;1984;08;1213130   ;123.017   
Pennsylvania;1984;08;5009674   ;487.281   
Rhode Island;1984;08;465.560   ;23.430   
South Carolina;1984;08;1396062   ;102.511   
South Dakota;1984;08;326.337   ;15.140   
Tennessee;1984;08;2041160   ;192.197   
Texas;1984;08;7489843   ;464.114   
Utah;1984;08;665.444   ;44.919   
Vermont;1984;08;258.348   ;12.379   
Virginia;1984;08;2680981   ;143.205   
Washington;1984;08;1891690   ;188.599   
West Virginia;1984;08;653.723   ;105.733   
Wisconsin;1984;08;2230256   ;171.888   
Wyoming;1984;08;239.169   ;16.088   
Alabama;1984;09;1594044   ;195.532   
Alaska;1984;09;221.821   ;23.877   
Arizona;1984;09;1383219   ;68.339   
Arkansas;1984;09;956.059   ;87.949   
California;1984;09;11741730   ;963.640   
Los Angeles County;1984;09;3616501   ;301.964   
Colorado;1984;09;1614750   ;97.293   
Connecticut;1984;09;1601582   ;76.243   
Delaware;1984;09;290.933   ;19.099   
District of Columbia;1984;09;295.657   ;27.604   
Florida;1984;09;4863195   ;333.087   
Georgia;1984;09;2625595   ;169.097   
Hawaii;1984;09;446.962   ;25.573   
Idaho;1984;09;430.762   ;33.975   
Illinois;1984;09;5117981   ;497.203   
Indiana;1984;09;2419660   ;215.275   
Iowa;1984;09;1319601   ;99.241   
Kansas;1984;09;1148446   ;59.244   
Kentucky;1984;09;1551565   ;149.141   
Louisiana;1984;09;1742295   ;203.285   
Maine;1984;09;518.120   ;32.213   
Maryland;1984;09;2139914   ;119.447   
Massachusetts;1984;09;2915444   ;136.124   
Michigan;1984;09;3850944   ;475.828   
Minnesota;1984;09;2082957   ;134.501   
Mississippi;1984;09;976.019   ;116.937   
Missouri;1984;09;2214083   ;163.297   
Montana;1984;09;374.516   ;30.345   
Nebraska;1984;09;757.995   ;34.614   
Nevada;1984;09;465.616   ;38.974   
New Hampshire;1984;09;503.668   ;22.271   
New Jersey;1984;09;3575831   ;231.768   
New Mexico;1984;09;582.955   ;49.162   
New York;1984;09;7532033   ;583.854   
New York city;1984;09;2819185   ;283.089   
North Carolina;1984;09;2839379   ;197.777   
North Dakota;1984;09;307.020   ;17.515   
Ohio;1984;09;4652232   ;468.366   
Oklahoma;1984;09;1442440   ;105.166   
Oregon;1984;09;1211848   ;122.646   
Pennsylvania;1984;09;5015810   ;483.373   
Rhode Island;1984;09;466.683   ;22.853   
South Carolina;1984;09;1400034   ;103.067   
South Dakota;1984;09;326.289   ;15.238   
Tennessee;1984;09;2046663   ;189.083   
Texas;1984;09;7487566   ;469.937   
Utah;1984;09;667.432   ;45.048   
Vermont;1984;09;258.860   ;12.252   
Virginia;1984;09;2687073   ;144.279   
Washington;1984;09;1893141   ;186.769   
West Virginia;1984;09;652.952   ;106.909   
Wisconsin;1984;09;2228313   ;169.589   
Wyoming;1984;09;238.991   ;16.418   
Alabama;1984;10;1598410   ;192.375   
Alaska;1984;10;222.492   ;23.802   
Arizona;1984;10;1384104   ;72.698   
Arkansas;1984;10;954.787   ;87.740   
California;1984;10;11780495   ;959.189   
Los Angeles County;1984;10;3634198   ;300.829   
Colorado;1984;10;1612994   ;97.860   
Connecticut;1984;10;1603089   ;76.336   
Delaware;1984;10;291.764   ;18.900   
District of Columbia;1984;10;296.816   ;27.408   
Florida;1984;10;4881518   ;332.256   
Georgia;1984;10;2631814   ;170.558   
Hawaii;1984;10;446.640   ;25.748   
Idaho;1984;10;430.622   ;34.048   
Illinois;1984;10;5121727   ;500.258   
Indiana;1984;10;2422647   ;216.398   
Iowa;1984;10;1316805   ;100.426   
Kansas;1984;10;1150173   ;59.469   
Kentucky;1984;10;1551225   ;147.800   
Louisiana;1984;10;1739405   ;207.460   
Maine;1984;10;519.072   ;31.772   
Maryland;1984;10;2143239   ;117.944   
Massachusetts;1984;10;2917298   ;133.712   
Michigan;1984;10;3855447   ;472.894   
Minnesota;1984;10;2084555   ;133.729   
Mississippi;1984;10;979.091   ;116.661   
Missouri;1984;10;2219335   ;162.974   
Montana;1984;10;374.497   ;30.115   
Nebraska;1984;10;758.443   ;34.733   
Nevada;1984;10;466.983   ;38.970   
New Hampshire;1984;10;504.058   ;22.497   
New Jersey;1984;10;3575406   ;228.213   
New Mexico;1984;10;583.932   ;50.202   
New York;1984;10;7544702   ;576.970   
New York city;1984;10;2823110   ;279.976   
North Carolina;1984;10;2841798   ;199.130   
North Dakota;1984;10;307.207   ;17.524   
Ohio;1984;10;4653536   ;466.063   
Oklahoma;1984;10;1441744   ;105.980   
Oregon;1984;10;1209767   ;122.557   
Pennsylvania;1984;10;5023786   ;478.489   
Rhode Island;1984;10;467.797   ;22.801   
South Carolina;1984;10;1405510   ;102.931   
South Dakota;1984;10;326.442   ;15.319   
Tennessee;1984;10;2050603   ;186.162   
Texas;1984;10;7485937   ;480.015   
Utah;1984;10;669.653   ;45.284   
Vermont;1984;10;259.571   ;12.229   
Virginia;1984;10;2692620   ;145.629   
Washington;1984;10;1894415   ;185.464   
West Virginia;1984;10;652.203   ;108.101   
Wisconsin;1984;10;2226959   ;167.807   
Wyoming;1984;10;238.728   ;16.661   
Alabama;1984;11;1604282   ;188.951   
Alaska;1984;11;223.161   ;23.748   
Arizona;1984;11;1385092   ;77.210   
Arkansas;1984;11;954.493   ;87.616   
California;1984;11;11825891   ;953.550   
Los Angeles County;1984;11;3653330   ;298.683   
Colorado;1984;11;1612230   ;98.483   
Connecticut;1984;11;1606074   ;76.392   
Delaware;1984;11;292.683   ;18.676   
District of Columbia;1984;11;297.762   ;27.196   
Florida;1984;11;4902847   ;331.545   
Georgia;1984;11;2640307   ;172.231   
Hawaii;1984;11;447.275   ;25.728   
Idaho;1984;11;430.669   ;34.100   
Illinois;1984;11;5130409   ;501.543   
Indiana;1984;11;2430158   ;217.419   
Iowa;1984;11;1314726   ;101.775   
Kansas;1984;11;1153182   ;60.004   
Kentucky;1984;11;1551898   ;146.969   
Louisiana;1984;11;1738176   ;211.432   
Maine;1984;11;520.326   ;31.502   
Maryland;1984;11;2147550   ;116.283   
Massachusetts;1984;11;2920274   ;131.367   
Michigan;1984;11;3864101   ;468.898   
Minnesota;1984;11;2087310   ;133.245   
Mississippi;1984;11;983.213   ;116.030   
Missouri;1984;11;2226543   ;163.156   
Montana;1984;11;374.463   ;29.971   
Nebraska;1984;11;759.253   ;35.039   
Nevada;1984;11;468.587   ;38.867   
New Hampshire;1984;11;504.794   ;22.634   
New Jersey;1984;11;3578904   ;224.554   
New Mexico;1984;11;585.254   ;51.031   
New York;1984;11;7564121   ;568.670   
New York city;1984;11;2830500   ;276.274   
North Carolina;1984;11;2848523   ;198.645   
North Dakota;1984;11;307.657   ;17.549   
Ohio;1984;11;4655368   ;463.632   
Oklahoma;1984;11;1442083   ;107.181   
Oregon;1984;11;1207575   ;122.661   
Pennsylvania;1984;11;5034974   ;472.404   
Rhode Island;1984;11;468.964   ;23.194   
South Carolina;1984;11;1412857   ;101.769   
South Dakota;1984;11;326.895   ;15.419   
Tennessee;1984;11;2053922   ;183.556   
Texas;1984;11;7489162   ;492.038   
Utah;1984;11;672.253   ;45.458   
Vermont;1984;11;260.472   ;12.276   
Virginia;1984;11;2697781   ;147.366   
Washington;1984;11;1896584   ;184.338   
West Virginia;1984;11;651.900   ;108.891   
Wisconsin;1984;11;2226669   ;167.253   
Wyoming;1984;11;238.478   ;16.736   
Alabama;1984;12;1611019   ;185.507   
Alaska;1984;12;223.844   ;23.723   
Arizona;1984;12;1386603   ;81.137   
Arkansas;1984;12;955.345   ;87.469   
California;1984;12;11875139   ;947.594   
Los Angeles County;1984;12;3671517   ;296.102   
Colorado;1984;12;1613165   ;98.908   
Connecticut;1984;12;1610344   ;76.397   
Delaware;1984;12;293.571   ;18.474   
District of Columbia;1984;12;298.347   ;27.022   
Florida;1984;12;4926159   ;331.049   
Georgia;1984;12;2650275   ;174.470   
Hawaii;1984;12;448.704   ;25.441   
Idaho;1984;12;430.984   ;34.269   
Illinois;1984;12;5143234   ;500.964   
Indiana;1984;12;2442232   ;217.629   
Iowa;1984;12;1314040   ;103.033   
Kansas;1984;12;1157243   ;60.662   
Kentucky;1984;12;1553436   ;146.455   
Louisiana;1984;12;1739070   ;214.699   
Maine;1984;12;521.740   ;31.469   
Maryland;1984;12;2152520   ;114.528   
Massachusetts;1984;12;2924427   ;129.224   
Michigan;1984;12;3876355   ;463.763   
Minnesota;1984;12;2090529   ;132.915   
Mississippi;1984;12;988.118   ;115.413   
Missouri;1984;12;2235443   ;163.607   
Montana;1984;12;374.486   ;30.032   
Nebraska;1984;12;760.519   ;35.563   
Nevada;1984;12;470.370   ;38.822   
New Hampshire;1984;12;506.051   ;22.641   
New Jersey;1984;12;3585313   ;221.365   
New Mexico;1984;12;586.902   ;51.743   
New York;1984;12;7587372   ;561.554   
New York city;1984;12;2840150   ;273.634   
North Carolina;1984;12;2859611   ;196.377   
North Dakota;1984;12;308.351   ;17.600   
Ohio;1984;12;4659463   ;460.683   
Oklahoma;1984;12;1443554   ;108.485   
Oregon;1984;12;1206050   ;122.536   
Pennsylvania;1984;12;5048566   ;465.657   
Rhode Island;1984;12;470.177   ;23.817   
South Carolina;1984;12;1421472   ;99.782   
South Dakota;1984;12;327.592   ;15.551   
Tennessee;1984;12;2057481   ;181.575   
Texas;1984;12;7497758   ;504.028   
Utah;1984;12;675.165   ;45.501   
Vermont;1984;12;261.481   ;12.360   
Virginia;1984;12;2702387   ;149.329   
Washington;1984;12;1900407   ;183.032   
West Virginia;1984;12;652.171   ;108.939   
Wisconsin;1984;12;2227318   ;167.892   
Wyoming;1984;12;238.329   ;16.659   
Alabama;1985;01;1617064   ;182.560   
Alaska;1985;01;224.421   ;23.758   
Arizona;1985;01;1387874   ;84.346   
Arkansas;1985;01;957.043   ;87.371   
California;1985;01;11919980   ;943.463   
Los Angeles County;1985;01;3685424   ;293.961   
Colorado;1985;01;1615225   ;99.128   
Connecticut;1985;01;1614645   ;76.504   
Delaware;1985;01;294.347   ;18.287   
District of Columbia;1985;01;298.459   ;26.943   
Florida;1985;01;4948179   ;330.991   
Georgia;1985;01;2659469   ;177.713   
Hawaii;1985;01;450.463   ;25.003   
Idaho;1985;01;431.325   ;34.606   
Illinois;1985;01;5155209   ;500.331   
Indiana;1985;01;2456308   ;217.339   
Iowa;1985;01;1314518   ;104.095   
Kansas;1985;01;1161386   ;61.387   
Kentucky;1985;01;1554602   ;146.429   
Louisiana;1985;01;1741240   ;217.199   
Maine;1985;01;522.977   ;31.658   
Maryland;1985;01;2156981   ;112.915   
Massachusetts;1985;01;2928595   ;127.727   
Michigan;1985;01;3889268   ;458.313   
Minnesota;1985;01;2093135   ;132.569   
Mississippi;1985;01;992.827   ;115.091   
Missouri;1985;01;2244536   ;164.478   
Montana;1985;01;374.492   ;30.307   
Nebraska;1985;01;761.811   ;36.477   
Nevada;1985;01;472.101   ;38.948   
New Hampshire;1985;01;507.727   ;22.512   
New Jersey;1985;01;3592034   ;219.408   
New Mexico;1985;01;588.591   ;52.559   
New York;1985;01;7608114   ;557.998   
New York city;1985;01;2849109   ;272.860   
North Carolina;1985;01;2873305   ;193.128   
North Dakota;1985;01;309.124   ;17.676   
Ohio;1985;01;4664836   ;457.574   
Oklahoma;1985;01;1445117   ;109.808   
Oregon;1985;01;1205613   ;121.937   
Pennsylvania;1985;01;5061175   ;459.906   
Rhode Island;1985;01;471.231   ;24.423   
South Carolina;1985;01;1429784   ;97.870   
South Dakota;1985;01;328.288   ;15.748   
Tennessee;1985;01;2061163   ;180.447   
Texas;1985;01;7507955   ;515.889   
Utah;1985;01;678.070   ;45.425   
Vermont;1985;01;262.418   ;12.465   
Virginia;1985;01;2705694   ;151.323   
Washington;1985;01;1905494   ;181.735   
West Virginia;1985;01;652.777   ;108.152   
Wisconsin;1985;01;2228055   ;169.274   
Wyoming;1985;01;238.254   ;16.529   
Alabama;1985;02;1621366   ;180.201   
Alaska;1985;02;224.662   ;23.916   
Arizona;1985;02;1387802   ;87.322   
Arkansas;1985;02;959.109   ;87.524   
California;1985;02;11953332   ;942.498   
Los Angeles County;1985;02;3693192   ;292.660   
Colorado;1985;02;1616928   ;99.214   
Connecticut;1985;02;1617705   ;76.814   
Delaware;1985;02;295.115   ;18.049   
District of Columbia;1985;02;298.078   ;26.965   
Florida;1985;02;4965421   ;331.383   
Georgia;1985;02;2666132   ;181.756   
Hawaii;1985;02;452.070   ;24.628   
Idaho;1985;02;431.384   ;35.157   
Illinois;1985;02;5160860   ;501.485   
Indiana;1985;02;2468959   ;217.028   
Iowa;1985;02;1315391   ;105.016   
Kansas;1985;02;1164689   ;62.091   
Kentucky;1985;02;1554281   ;147.032   
Louisiana;1985;02;1743235   ;219.267   
Maine;1985;02;523.635   ;31.944   
Maryland;1985;02;2160021   ;111.589   
Massachusetts;1985;02;2931122   ;127.124   
Michigan;1985;02;3899211   ;453.695   
Minnesota;1985;02;2094330   ;132.376   
Mississippi;1985;02;996.603   ;115.194   
Missouri;1985;02;2252479   ;165.501   
Montana;1985;02;374.366   ;30.649   
Nebraska;1985;02;762.712   ;37.703   
Nevada;1985;02;473.542   ;39.250   
New Hampshire;1985;02;509.548   ;22.298   
New Jersey;1985;02;3596952   ;219.073   
New Mexico;1985;02;590.011   ;53.602   
New York;1985;02;7621705   ;557.843   
New York city;1985;02;2855398   ;272.874   
North Carolina;1985;02;2886941   ;189.880   
North Dakota;1985;02;309.825   ;17.776   
Ohio;1985;02;4668617   ;455.612   
Oklahoma;1985;02;1445717   ;111.063   
Oregon;1985;02;1205829   ;121.042   
Pennsylvania;1985;02;5070184   ;456.273   
Rhode Island;1985;02;471.940   ;24.838   
South Carolina;1985;02;1436057   ;97.153   
South Dakota;1985;02;328.755   ;16.055   
Tennessee;1985;02;2064600   ;180.204   
Texas;1985;02;7515524   ;527.950   
Utah;1985;02;680.624   ;45.309   
Vermont;1985;02;263.165   ;12.604   
Virginia;1985;02;2707252   ;153.458   
Washington;1985;02;1910938   ;180.593   
West Virginia;1985;02;653.344   ;106.775   
Wisconsin;1985;02;2227800   ;170.943   
Wyoming;1985;02;238.106   ;16.498   
Alabama;1985;03;1623864   ;177.946   
Alaska;1985;03;224.506   ;24.170   
Arizona;1985;03;1386295   ;90.269   
Arkansas;1985;03;961.148   ;87.973   
California;1985;03;11973521   ;942.993   
Los Angeles County;1985;03;3694933   ;291.514   
Colorado;1985;03;1617066   ;99.364   
Connecticut;1985;03;1619103   ;77.143   
Delaware;1985;03;295.997   ;17.742   
District of Columbia;1985;03;297.289   ;26.980   
Florida;1985;03;4976887   ;331.433   
Georgia;1985;03;2670077   ;185.589   
Hawaii;1985;03;453.248   ;24.458   
Idaho;1985;03;431.139   ;35.783   
Illinois;1985;03;5158942   ;504.265   
Indiana;1985;03;2478356   ;216.581   
Iowa;1985;03;1315927   ;105.576   
Kansas;1985;03;1166623   ;62.546   
Kentucky;1985;03;1552297   ;147.927   
Louisiana;1985;03;1744147   ;221.068   
Maine;1985;03;523.610   ;32.073   
Maryland;1985;03;2161715   ;110.315   
Massachusetts;1985;03;2931200   ;127.097   
Michigan;1985;03;3904646   ;449.963   
Minnesota;1985;03;2094350   ;132.309   
Mississippi;1985;03;999.369   ;115.436   
Missouri;1985;03;2258689   ;165.917   
Montana;1985;03;374.127   ;30.860   
Nebraska;1985;03;763.078   ;38.970   
Nevada;1985;03;474.582   ;39.564   
New Hampshire;1985;03;511.349   ;21.979   
New Jersey;1985;03;3599725   ;219.234   
New Mexico;1985;03;590.947   ;54.707   
New York;1985;03;7627467   ;558.040   
New York city;1985;03;2858162   ;271.638   
North Carolina;1985;03;2898095   ;186.999   
North Dakota;1985;03;310.345   ;17.855   
Ohio;1985;03;4669438   ;454.872   
Oklahoma;1985;03;1445010   ;111.700   
Oregon;1985;03;1205914   ;119.946   
Pennsylvania;1985;03;5075495   ;454.117   
Rhode Island;1985;03;472.342   ;24.953   
South Carolina;1985;03;1439675   ;98.160   
South Dakota;1985;03;328.966   ;16.427   
Tennessee;1985;03;2067466   ;180.404   
Texas;1985;03;7518458   ;539.316   
Utah;1985;03;682.655   ;45.151   
Vermont;1985;03;263.730   ;12.768   
Virginia;1985;03;2707104   ;155.647   
Washington;1985;03;1916211   ;179.287   
West Virginia;1985;03;653.581   ;105.006   
Wisconsin;1985;03;2226280   ;172.253   
Wyoming;1985;03;237.781   ;16.635   
Alabama;1985;04;1625007   ;175.571   
Alaska;1985;04;224.191   ;24.435   
Arizona;1985;04;1384816   ;93.043   
Arkansas;1985;04;962.929   ;88.678   
California;1985;04;11983223   ;943.405   
Los Angeles County;1985;04;3692741   ;289.892   
Colorado;1985;04;1615745   ;99.864   
Connecticut;1985;04;1619163   ;77.300   
Delaware;1985;04;297.045   ;17.393   
District of Columbia;1985;04;296.403   ;26.909   
Florida;1985;04;4984018   ;330.836   
Georgia;1985;04;2672560   ;188.377   
Hawaii;1985;04;453.932   ;24.536   
Idaho;1985;04;430.701   ;36.296   
Illinois;1985;04;5151135   ;508.123   
Indiana;1985;04;2484295   ;215.817   
Iowa;1985;04;1316017   ;105.691   
Kansas;1985;04;1167135   ;62.652   
Kentucky;1985;04;1549234   ;149.003   
Louisiana;1985;04;1743896   ;222.689   
Maine;1985;04;523.060   ;31.890   
Maryland;1985;04;2162783   ;108.937   
Massachusetts;1985;04;2929007   ;127.285   
Michigan;1985;04;3906299   ;447.327   
Minnesota;1985;04;2094015   ;132.388   
Mississippi;1985;04;1001315   ;115.676   
Missouri;1985;04;2263197   ;165.404   
Montana;1985;04;373.854   ;30.871   
Nebraska;1985;04;762.954   ;40.059   
Nevada;1985;04;475.330   ;39.712   
New Hampshire;1985;04;513.028   ;21.529   
New Jersey;1985;04;3601315   ;218.608   
New Mexico;1985;04;591.389   ;55.616   
New York;1985;04;7694005   ;556.652   
New York city;1985;04;2923878   ;268.364   
North Carolina;1985;04;2906179   ;184.242   
North Dakota;1985;04;310.635   ;17.888   
Ohio;1985;04;4667913   ;455.358   
Oklahoma;1985;04;1443519   ;111.372   
Oregon;1985;04;1205675   ;118.703   
Pennsylvania;1985;04;5078672   ;452.551   
Rhode Island;1985;04;472.592   ;24.787   
South Carolina;1985;04;1441277   ;100.806   
South Dakota;1985;04;328.982   ;16.765   
Tennessee;1985;04;2069408   ;180.581   
Texas;1985;04;7516526   ;549.641   
Utah;1985;04;684.302   ;44.992   
Vermont;1985;04;264.202   ;12.934   
Virginia;1985;04;2705540   ;157.690   
Washington;1985;04;1921062   ;177.656   
West Virginia;1985;04;653.396   ;103.201   
Wisconsin;1985;04;2223779   ;172.804   
Wyoming;1985;04;237.308   ;16.953   
Alabama;1985;05;1625773   ;173.217   
Alaska;1985;05;223.978   ;24.627   
Arizona;1985;05;1384266   ;95.600   
Arkansas;1985;05;964.407   ;89.495   
